Index,X-coordinate,Y-coordinate,Intensity,Labels
4533,20,112,255,1
4534,20,113,255,1
4535,20,114,255,1
4536,20,115,255,1
4537,20,116,255,1
4538,20,117,255,1
4539,20,118,255,1
4540,20,119,255,1
4541,20,120,255,1
4749,21,107,255,1
4752,21,110,255,1
4753,21,111,255,1
4754,21,112,255,1
4755,21,113,255,1
4756,21,114,255,1
4757,21,115,255,1
4758,21,116,255,1
4759,21,117,255,1
4760,21,118,255,1
4761,21,119,255,1
4762,21,120,255,1
4763,21,121,255,1
4764,21,122,255,1
4765,21,123,255,1
4766,21,124,255,1
4767,21,125,255,1
4966,22,103,255,1
4967,22,104,255,1
4968,22,105,255,1
4969,22,106,255,1
4970,22,107,255,1
4971,22,108,255,1
4972,22,109,255,1
4973,22,110,255,1
4974,22,111,255,1
4975,22,112,255,1
4978,22,115,255,1
4979,22,116,255,1
4980,22,117,255,1
4981,22,118,255,1
4982,22,119,255,1
4983,22,120,255,1
4984,22,121,255,1
4985,22,122,255,1
4986,22,123,255,1
4987,22,124,255,1
4988,22,125,255,1
4989,22,126,255,1
4990,22,127,255,1
4991,22,128,255,1
4992,22,129,255,1
4993,22,130,255,1
4994,22,131,255,1
5185,23,101,255,1
5186,23,102,255,1
5187,23,103,255,1
5188,23,104,255,1
5189,23,105,255,1
5190,23,106,255,1
5191,23,107,255,1
5192,23,108,255,1
5202,23,118,255,1
5203,23,119,255,1
5204,23,120,255,1
5205,23,121,255,1
5206,23,122,255,1
5207,23,123,255,1
5208,23,124,255,1
5209,23,125,255,1
5210,23,126,255,1
5211,23,127,255,1
5212,23,128,255,1
5213,23,129,255,1
5214,23,130,255,1
5215,23,131,255,1
5216,23,132,255,1
5217,23,133,255,1
5218,23,134,255,1
5403,24,98,255,1
5404,24,99,255,1
5405,24,100,255,1
5406,24,101,255,1
5407,24,102,255,1
5408,24,103,255,1
5431,24,126,255,1
5435,24,130,255,1
5436,24,131,255,1
5437,24,132,255,1
5438,24,133,255,1
5439,24,134,255,1
5440,24,135,255,1
5622,25,96,255,1
5623,25,97,255,1
5624,25,98,255,1
5625,25,99,255,1
5626,25,100,255,1
5627,25,101,255,1
5658,25,132,255,1
5659,25,133,255,1
5660,25,134,255,1
5661,25,135,255,1
5662,25,136,255,1
5663,25,137,255,1
5664,25,138,255,1
5841,26,94,255,1
5842,26,95,255,1
5843,26,96,255,1
5844,26,97,255,1
5845,26,98,255,1
5881,26,134,255,1
5882,26,135,255,1
5883,26,136,255,1
5884,26,137,255,1
5885,26,138,255,1
5886,26,139,255,1
5887,26,140,255,1
5888,26,141,255,1
6061,27,93,255,1
6062,27,94,255,1
6063,27,95,255,1
6064,27,96,255,1
6104,27,136,255,1
6105,27,137,255,1
6106,27,138,255,1
6107,27,139,255,1
6108,27,140,255,1
6109,27,141,255,1
6110,27,142,255,1
6111,27,143,255,1
6280,28,91,255,1
6281,28,92,255,1
6282,28,93,255,1
6283,28,94,255,1
6327,28,138,255,1
6328,28,139,255,1
6329,28,140,255,1
6330,28,141,255,1
6331,28,142,255,1
6332,28,143,255,1
6333,28,144,255,1
6500,29,90,255,1
6501,29,91,255,1
6502,29,92,255,1
6503,29,93,255,1
6550,29,140,255,1
6551,29,141,255,1
6552,29,142,255,1
